cond,lam_eff,member,completion,laps
wind_gust,0.0,mppi_l1,0.6666666666666666,3
wind_gust,0.25,M1,1.0,15
wind_gust,0.25,M1+ESO,0.9333333333333333,15
wind_gust,0.25,M1+L1,1.0,15
wind_gust,0.25,mppi_l1,0.7333333333333333,15
wind_gust,0.5,M1,0.8,15
wind_gust,0.5,M1+ESO,0.9333333333333333,15
wind_gust,0.5,M1+L1,1.0,15
wind_gust,0.5,mppi_l1,0.6666666666666666,15
wind_gust,0.75,M1,0.5333333333333333,15
wind_gust,0.75,M1+ESO,0.8666666666666667,15
wind_gust,0.75,M1+L1,0.8666666666666667,15
wind_gust,0.75,mppi_l1,0.4666666666666667,15
wind_gust,1.0,M1,0.4,15
wind_gust,1.0,M1+ESO,0.6666666666666666,15
wind_gust,1.0,M1+L1,0.8,15
wind_gust,1.0,mppi_l1,0.4666666666666667,15
wind_gust,1.5,M1,0.26666666666666666,15
wind_gust,1.5,M1+ESO,0.26666666666666666,15
wind_gust,1.5,M1+L1,0.4666666666666667,15
wind_gust,1.5,mppi_l1,0.06666666666666667,15
wind_gust,2.0,M1,0.0,15
wind_gust,2.0,M1+ESO,0.0,15
wind_gust,2.0,M1+L1,0.13333333333333333,15
wind_gust,2.0,mppi_l1,0.0,15
wind_gust,3.0,M1,0.0,15
wind_gust,3.0,M1+ESO,0.0,15
wind_gust,3.0,M1+L1,0.0,15
wind_gust,3.0,mppi_l1,0.0,15
wind_gust,4.0,M1,0.0,15
wind_gust,4.0,M1+ESO,0.0,15
wind_gust,4.0,M1+L1,0.0,15
wind_gust,4.0,mppi_l1,0.0,15
wind_gust,6.0,M1,0.0,15
wind_gust,6.0,M1+ESO,0.0,15
wind_gust,6.0,M1+L1,0.0,15
wind_gust,6.0,mppi_l1,0.0,15
wind_gust,8.0,M1,0.0,15
wind_gust,8.0,M1+ESO,0.0,15
wind_gust,8.0,M1+L1,0.0,15
wind_gust,8.0,mppi_l1,0.0,15
lighthouse,0.0,M1,1.0,3
lighthouse,0.0,M1+ESO,0.6666666666666666,3
lighthouse,0.0,M1+L1,1.0,3
lighthouse,0.0,mppi_l1,0.6666666666666666,3
lighthouse,0.25,M1,0.9333333333333333,15
lighthouse,0.25,M1+ESO,0.4666666666666667,15
lighthouse,0.25,M1+L1,0.9333333333333333,15
lighthouse,0.25,mppi_l1,0.3333333333333333,15
lighthouse,0.5,M1,0.7333333333333333,15
lighthouse,0.5,M1+ESO,0.4,15
lighthouse,0.5,M1+L1,0.7333333333333333,15
lighthouse,0.5,mppi_l1,0.4,15
lighthouse,0.75,M1,0.8666666666666667,15
lighthouse,0.75,M1+ESO,0.4,15
lighthouse,0.75,M1+L1,0.5333333333333333,15
lighthouse,0.75,mppi_l1,0.2,15
lighthouse,1.0,M1,0.6,15
lighthouse,1.0,M1+ESO,0.4666666666666667,15
lighthouse,1.0,M1+L1,0.4666666666666667,15
lighthouse,1.0,mppi_l1,0.26666666666666666,15
lighthouse,1.5,M1,0.26666666666666666,15
lighthouse,1.5,M1+ESO,0.13333333333333333,15
lighthouse,1.5,M1+L1,0.13333333333333333,15
lighthouse,1.5,mppi_l1,0.0,15
lighthouse,2.0,M1,0.2,15
lighthouse,2.0,M1+ESO,0.06666666666666667,15
lighthouse,2.0,M1+L1,0.0,15
lighthouse,2.0,mppi_l1,0.06666666666666667,15
lighthouse,3.0,M1,0.06666666666666667,15
lighthouse,3.0,M1+ESO,0.0,15
lighthouse,3.0,M1+L1,0.0,15
lighthouse,3.0,mppi_l1,0.0,15
lighthouse,4.0,M1,0.0,15
lighthouse,4.0,M1+ESO,0.0,15
lighthouse,4.0,M1+L1,0.0,15
lighthouse,4.0,mppi_l1,0.0,15
lighthouse,6.0,M1,0.0,15
lighthouse,6.0,M1+ESO,0.0,15
lighthouse,6.0,M1+L1,0.0,15
lighthouse,6.0,mppi_l1,0.0,15
lighthouse,8.0,M1,0.0,15
lighthouse,8.0,M1+ESO,0.0,15
lighthouse,8.0,M1+L1,0.0,15
lighthouse,8.0,mppi_l1,0.0,15
